row_id,instruction,raw_input,goal_text,business_context,summary,text,tone_rule,tone_rule_confidence,tone_rule_matches,tone_zs_score_friendly,tone_zs_score_professional,tone_zs_score_luxury,tone_zs_score_emotional,tone_zs_score_persuasive,tone_zs_score_humorous,tone_zero_shot_scored,tone_zero_shot_raw,tone_zero_shot_raw_confidence,tone_zero_shot,tone_zero_shot_confidence,tone_second_choice,tone_second_choice_confidence,tone_phi3,tone_phi3_selected,tone_phi3_done,tone,tone_confidence,tone_agreement,tone_source,tone_needs_review
0,Develop a social media campaign to increase brand awareness and drive sales for a new sustainable fashion line.,"Company: GreenCycle Clothing Target Audience: Environmentally conscious millennials Constraints: Limited budget ($5,000) Goals: 20% increase in brand awareness, 15% increase in sales Workflow Stage: Strategy","20% increase in brand awareness, 15% increase in sales Workflow Stage: Strategy","Company: GreenCycle Clothing Target Audience: Environmentally conscious millennials Constraints: Limited budget ($5,000)","Company: GreenCycle Clothing Target Audience: Environmentally conscious millennials Constraints: Limited budget ($5,000)","""Revolutionize Your Wardrobe"" campaign, leveraging Instagram and TikTok influencers to showcase eco-friendly fashion. Collaborate with 5 influencers for sponsored content, utilizing hashtags #SustainabilityInFashion and #GreenCycleClothing. Allocate $2,000 for influencer partnerships, $1,500 for targeted ads, and $1,500 for content creation. Monitor engagement and adjust ad spend accordingly.",,0.0,,0.05893798917531967,0.22384695708751678,0.08465751260519028,0.05619366466999054,0.40495777130126953,0.171406090259552,1,persuasive,0.405,professional,0.2836,humorous,0.2179,professional,1,1,professional,0.3536,1.0,three_method_majority,True
1,Create a content calendar for a B2B software company's blog to establish thought leadership in AI and machine learning.,"Company: NovaTech Solutions Target Audience: Business owners and IT professionals Constraints: Publish 2 articles per week Goals: 50% increase in website traffic, 20% increase in lead generation Workflow Stage: Content Creation","50% increase in website traffic, 20% increase in lead generation Workflow Stage: Content Creation",Company: NovaTech Solutions Target Audience: Business owners and IT professionals Constraints: Publish 2 articles per week,Company: NovaTech Solutions Target Audience: Business owners and IT professionals Constraints: Publish 2 articles per week,"""AI Insights"" series, covering topics like AI adoption, ML applications, and industry trends. Allocate Mondays for ""Myth-Busting Mondays"" and Thursdays for ""Throwback Thursdays,"" highlighting past successes. Utilize SEO keywords, meta descriptions, and optimize images. Schedule 8 articles per month, with 2 in-depth guides and 2 listicles.",professional,0.7708,industry|insights,0.050332121551036835,0.1674147993326187,0.1080167219042778,0.08925355970859528,0.20724445581436157,0.377738356590271,1,humorous,0.3777,humorous,0.4027,professional,0.1778,professional,1,1,professional,0.8408,0.6667,three_method_majority,False
2,Design a targeted email campaign to re-engage inactive subscribers for a fitness and wellness center.,"Company: FitZone Target Audience: Inactive subscribers (6+ months) Constraints: Limited email list (5,000 subscribers) Goals: 20% re-engagement rate, 10% conversion rate Workflow Stage: Email Campaign","20% re-engagement rate, 10% conversion rate Workflow Stage: Email Campaign","Company: FitZone Target Audience: Inactive subscribers (6+ months) Constraints: Limited email list (5,000 subscribers)","Company: FitZone Target Audience: Inactive subscribers (6+ months) Constraints: Limited email list (5,000 subscribers)","""Get Moving Again"" campaign, featuring a 3-email sequence: 1) ""We Miss You"" (personalized greeting, special offer), 2) ""New Classes and Workshops"" (showcasing new services), and 3) ""Exclusive Discounts"" (limited-time promotions). Use segmentation to tailor content based on subscriber interests and inactivity duration. Schedule emails 1 week apart, with A/B testing for subject lines and CTAs.",luxury,0.2472,exclusive,0.08689435571432114,0.056325770914554596,0.045595742762088776,0.07758340984582901,0.628186047077179,0.10541465878486633,1,persuasive,0.6282,persuasive,0.2779,friendly,0.2288,persuasive,1,1,persuasive,0.3479,0.6667,three_method_majority,True
3,Create a social media campaign to increase brand awareness and drive sales for a sustainable fashion brand.,"Company: GreenThreads, a fashion brand using eco-friendly materials and production methods. Target Audience: Fashion-conscious millennials and Gen Z. Constraints: Limited budget, high competition in the sustainable fashion market. Goals: Increase brand awareness by 20%, drive sales by 15% within 6 months. Workflow Stage: Strategy","Increase brand awareness by 20%, drive sales by 15% within 6 months. Workflow Stage: Strategy","Company: GreenThreads, a fashion brand using eco-friendly materials and production methods. Target Audience: Fashion-conscious millennials and Gen Z. Constraints: Limited budget, high competition in the sustainable fashion market.","Company: GreenThreads, a fashion brand using eco-friendly materials and production methods. Target Audience: Fashion-conscious millennials and Gen Z. Constraints: Limited budget, high competition in the sustainable fashion market.","Develop a social media campaign highlighting GreenThreads' commitment to sustainability, featuring eco-influencers, and utilizing Instagram Reels and TikTok for engaging content. Allocate $1,500 for influencer partnerships and $1,000 for targeted ads. Create a branded hashtag and encourage user-generated content.",,0.0,,0.06491531431674957,0.10808410495519638,0.09558840841054916,0.09423188865184784,0.45326197147369385,0.18391837179660797,1,persuasive,0.4533,humorous,0.236,emotional,0.1929,professional,1,1,professional,0.6,0.5,phi3_tiebreak,True
4,Design an email marketing campaign to nurture leads for a B2B software company.,"Company: Proxima, a SaaS provider for marketing automation. Target Audience: Marketing professionals and business owners. Constraints: High competition, lengthy sales cycle. Goals: Increase lead conversion by 25% within 3 months. Workflow Stage: Email Copywriting",Increase lead conversion by 25% within 3 months. Workflow Stage: Email Copywriting,"Company: Proxima, a SaaS provider for marketing automation. Target Audience: Marketing professionals and business owners. Constraints: High competition, lengthy sales cycle.","Company: Proxima, a SaaS provider for marketing automation. Target Audience: Marketing professionals and business owners. Constraints: High competition, lengthy sales cycle.","Create a 5-email nurture sequence: Introduction, Problem agitation, Solution showcase, Social proof, and Exclusive offer. Use personalization and segmentation to tailor content. Include interactive elements like quizzes and surveys to boost engagement.",luxury,0.3192,exclusive,0.05640966817736626,0.05311496555805206,0.09984378516674042,0.03568714112043381,0.6727920174598694,0.08215242624282837,1,persuasive,0.6728,persuasive,0.3398,friendly,0.1695,persuasive,1,1,persuasive,0.4098,0.6667,three_method_majority,True
5,Develop a content calendar for a health and wellness blog.,"Company: BalancedLife, a wellness blog and coaching service. Target Audience: Health-conscious individuals. Constraints: Limited resources, need for consistent content. Goals: Increase website traffic by 30% within 6 months. Workflow Stage: Content Scheduling",Increase website traffic by 30% within 6 months. Workflow Stage: Content Scheduling,"Company: BalancedLife, a wellness blog and coaching service. Target Audience: Health-conscious individuals. Constraints: Limited resources, need for consistent content.","Company: BalancedLife, a wellness blog and coaching service. Target Audience: Health-conscious individuals. Constraints: Limited resources, need for consistent content.","Plan a content calendar with 3 blog posts per week, focusing on topics like mindfulness, nutrition, and fitness. Utilize SEO keywords and meta descriptions. Schedule social media posts to promote blog content and engage with audience.",,0.0,,0.09283565729856491,0.2164313793182373,0.19591288268566132,0.05738073214888573,0.2908422350883484,0.14659713208675385,1,persuasive,0.2908,professional,0.2432,luxury,0.2084,professional,1,1,professional,0.3132,1.0,three_method_majority,True
6,Create a paid advertising campaign for a new product launch.,"Company: TechGear, an electronics manufacturer. Target Audience: Tech enthusiasts and early adopters. Constraints: Limited budget, high competition. Goals: Drive sales and generate buzz around the new product. Workflow Stage: Ad Copywriting",Drive sales and generate buzz around the new product. Workflow Stage: Ad Copywriting,"Company: TechGear, an electronics manufacturer. Target Audience: Tech enthusiasts and early adopters. Constraints: Limited budget, high competition.","Company: TechGear, an electronics manufacturer. Target Audience: Tech enthusiasts and early adopters. Constraints: Limited budget, high competition.","Develop targeted Google Ads and Facebook Ads campaigns highlighting the product's unique features and benefits. Allocate $5,000 for ad spend and focus on conversion-driven ad copy.",,0.0,,0.020174451172351837,0.09600277990102768,0.04897277057170868,0.02961277961730957,0.7511501908302307,0.054087042808532715,1,persuasive,0.7512,persuasive,0.4426,professional,0.1914,professional,1,1,professional,0.6,0.5,phi3_tiebreak,True
7,Create a social media campaign to increase brand awareness for a new eco-friendly fashion brand.,"Company: GreenThreads, a sustainable fashion brand targeting millennials and Gen Z. Target audience: environmentally conscious fashion enthusiasts. Constraints: limited budget. Goals: increase brand awareness by 20% in 3 months. Workflow stage: strategy.",increase brand awareness by 20% in 3 months. Workflow stage: strategy.,"Company: GreenThreads, a sustainable fashion brand targeting millennials and Gen Z. Target audience: environmentally conscious fashion enthusiasts. Constraints: limited budget.","Company: GreenThreads, a sustainable fashion brand targeting millennials and Gen Z. Target audience: environmentally conscious fashion enthusiasts. Constraints: limited budget.","Develop a social media campaign, ""Eco-Chic Challenge,"" encouraging users to share their sustainable fashion choices. Collaborate with eco-influencers, create engaging content (reels, stories, posts) highlighting GreenThreads' commitment to sustainability. Utilize Instagram's ""Reels"" feature to create a branded hashtag challenge, offering discounts to participants who share their own eco-friendly fashion tips.",,0.0,,0.05272502452135086,0.11559763550758362,0.09928411990404129,0.08251426368951797,0.547798752784729,0.10208017379045486,1,persuasive,0.5478,persuasive,0.2317,emotional,0.1891,professional,1,1,professional,0.6,0.5,phi3_tiebreak,True
8,Design an email marketing campaign to boost sales for a B2B software company.,"Company: TechSolutions, a B2B software provider targeting small to medium-sized businesses. Target audience: business owners and decision-makers. Constraints: limited email list. Goals: increase sales by 15% in 2 months. Workflow stage: copywriting.",increase sales by 15% in 2 months. Workflow stage: copywriting.,"Company: TechSolutions, a B2B software provider targeting small to medium-sized businesses. Target audience: business owners and decision-makers. Constraints: limited email list.","Company: TechSolutions, a B2B software provider targeting small to medium-sized businesses. Target audience: business owners and decision-makers. Constraints: limited email list.","Create a 3-email nurture campaign, ""Unlock Your Business Potential,"" highlighting TechSolutions' software benefits. Email 1: ""Discover the Power of Our Software"" (introductory email with a free trial offer). Email 2: ""Success Stories"" (case studies and testimonials). Email 3: ""Exclusive Offer"" (limited-time discount for subscribers).",persuasive,0.6696,discount|offer,0.06518970429897308,0.12458018213510513,0.08347305655479431,0.20253513753414154,0.43356209993362427,0.09065981954336166,1,persuasive,0.4336,emotional,0.3763,persuasive,0.1487,professional,1,1,professional,0.6,0.3333,phi3_tiebreak,True
9,Develop a content marketing strategy for a healthcare company to establish thought leadership.,"Company: MedPro, a healthcare services provider targeting medical professionals and patients. Target audience: healthcare industry experts and patients seeking medical information. Constraints: high competition. Goals: establish thought leadership, increase website traffic by 30% in 6 months. Workflow stage: strategy.","establish thought leadership, increase website traffic by 30% in 6 months. Workflow stage: strategy.","Company: MedPro, a healthcare services provider targeting medical professionals and patients. Target audience: healthcare industry experts and patients seeking medical information. Constraints: high competition.","Company: MedPro, a healthcare services provider targeting medical professionals and patients. Target audience: healthcare industry experts and patients seeking medical information. Constraints: high competition.","Create a content hub, ""MedPro Insights,"" featuring in-depth articles, webinars, and videos on industry trends and best practices. Partner with influential healthcare professionals to contribute guest posts, promoting MedPro's expertise and showcasing its commitment to education and innovation.",professional,0.7708,industry|insights,0.0703100934624672,0.2858683466911316,0.19053423404693604,0.07892487198114395,0.2628593444824219,0.11150318384170532,1,professional,0.2859,professional,0.3156,luxury,0.1991,professional,1,1,professional,0.6204,1.0,rule_zero_shot_agreement,False
