row_id,instruction,raw_input,goal_text,business_context,summary,text,campaign_goal_rule,campaign_goal_rule_confidence,campaign_goal_rule_matches,campaign_goal_zero_shot,campaign_goal_zero_shot_confidence,campaign_goal_second_choice,campaign_goal_second_choice_confidence,campaign_goal_phi3,campaign_goal,campaign_goal_confidence,campaign_goal_agreement,campaign_goal_source,campaign_goal_needs_review,tone_rule,tone_rule_confidence,tone_rule_matches,tone_zero_shot,tone_zero_shot_confidence,tone_second_choice,tone_second_choice_confidence,tone_phi3,tone,tone_confidence,tone_agreement,tone_source,tone_needs_review,needs_review,joint_label_confidence,labeling_method,valid_label_pair
0,Develop a social media campaign to increase brand awareness and drive sales for a new sustainable fashion line.,"Company: GreenCycle Clothing Target Audience: Environmentally conscious millennials Constraints: Limited budget ($5,000) Goals: 20% increase in brand awareness, 15% increase in sales Workflow Stage: Strategy","20% increase in brand awareness, 15% increase in sales Workflow Stage: Strategy","Company: GreenCycle Clothing Target Audience: Environmentally conscious millennials Constraints: Limited budget ($5,000)","Company: GreenCycle Clothing Target Audience: Environmentally conscious millennials Constraints: Limited budget ($5,000)","""Revolutionize Your Wardrobe"" campaign, leveraging Instagram and TikTok influencers to showcase eco-friendly fashion. Collaborate with 5 influencers for sponsored content, utilizing hashtags #SustainabilityInFashion and #GreenCycleClothing. Allocate $2,000 for influencer partnerships, $1,500 for targeted ads, and $1,500 for content creation. Monitor engagement and adjust ad spend accordingly.",awareness,0.8167,brand awareness,awareness,0.4687,conversion,0.1847,awareness,awareness,0.7801,1.0,rule_zero_shot_agreement,False,,0.0,,professional,0.2836,humorous,0.2179,professional,professional,0.3536,1.0,three_method_majority,True,True,0.5252079207323516,rule_bart_mnli_phi3_ensemble,True
1,Create a content calendar for a B2B software company's blog to establish thought leadership in AI and machine learning.,"Company: NovaTech Solutions Target Audience: Business owners and IT professionals Constraints: Publish 2 articles per week Goals: 50% increase in website traffic, 20% increase in lead generation Workflow Stage: Content Creation","50% increase in website traffic, 20% increase in lead generation Workflow Stage: Content Creation",Company: NovaTech Solutions Target Audience: Business owners and IT professionals Constraints: Publish 2 articles per week,Company: NovaTech Solutions Target Audience: Business owners and IT professionals Constraints: Publish 2 articles per week,"""AI Insights"" series, covering topics like AI adoption, ML applications, and industry trends. Allocate Mondays for ""Myth-Busting Mondays"" and Thursdays for ""Throwback Thursdays,"" highlighting past successes. Utilize SEO keywords, meta descriptions, and optimize images. Schedule 8 articles per month, with 2 in-depth guides and 2 listicles.",lead_generation,0.5917,lead generation,awareness,0.352,lead_generation,0.3443,awareness,awareness,0.432,0.6667,three_method_majority,True,professional,0.7708,industry|insights,humorous,0.4027,professional,0.1778,professional,professional,0.8408,0.6667,three_method_majority,False,True,0.6026820057045008,rule_bart_mnli_phi3_ensemble,True
2,Design a targeted email campaign to re-engage inactive subscribers for a fitness and wellness center.,"Company: FitZone Target Audience: Inactive subscribers (6+ months) Constraints: Limited email list (5,000 subscribers) Goals: 20% re-engagement rate, 10% conversion rate Workflow Stage: Email Campaign","20% re-engagement rate, 10% conversion rate Workflow Stage: Email Campaign","Company: FitZone Target Audience: Inactive subscribers (6+ months) Constraints: Limited email list (5,000 subscribers)","Company: FitZone Target Audience: Inactive subscribers (6+ months) Constraints: Limited email list (5,000 subscribers)","""Get Moving Again"" campaign, featuring a 3-email sequence: 1) ""We Miss You"" (personalized greeting, special offer), 2) ""New Classes and Workshops"" (showcasing new services), and 3) ""Exclusive Discounts"" (limited-time promotions). Use segmentation to tailor content based on subscriber interests and inactivity duration. Schedule emails 1 week apart, with A/B testing for subject lines and CTAs.",conversion,0.3851,conversion rate,retention,0.4047,lead_generation,0.2077,engagement,engagement,0.62,0.3333,phi3_tiebreak,True,luxury,0.2472,exclusive,persuasive,0.2779,friendly,0.2288,persuasive,persuasive,0.3479,0.6667,three_method_majority,True,True,0.46443298763115437,rule_bart_mnli_phi3_ensemble,True
3,Create a social media campaign to increase brand awareness and drive sales for a sustainable fashion brand.,"Company: GreenThreads, a fashion brand using eco-friendly materials and production methods. Target Audience: Fashion-conscious millennials and Gen Z. Constraints: Limited budget, high competition in the sustainable fashion market. Goals: Increase brand awareness by 20%, drive sales by 15% within 6 months. Workflow Stage: Strategy","Increase brand awareness by 20%, drive sales by 15% within 6 months. Workflow Stage: Strategy","Company: GreenThreads, a fashion brand using eco-friendly materials and production methods. Target Audience: Fashion-conscious millennials and Gen Z. Constraints: Limited budget, high competition in the sustainable fashion market.","Company: GreenThreads, a fashion brand using eco-friendly materials and production methods. Target Audience: Fashion-conscious millennials and Gen Z. Constraints: Limited budget, high competition in the sustainable fashion market.","Develop a social media campaign highlighting GreenThreads' commitment to sustainability, featuring eco-influencers, and utilizing Instagram Reels and TikTok for engaging content. Allocate $1,500 for influencer partnerships and $1,000 for targeted ads. Create a branded hashtag and encourage user-generated content.",awareness,0.3667,brand awareness,awareness,0.5413,conversion,0.2205,awareness,awareness,0.5653,1.0,rule_zero_shot_agreement,True,,0.0,,humorous,0.236,emotional,0.1929,professional,professional,0.6,0.5,phi3_tiebreak,True,True,0.5823916208188439,rule_bart_mnli_phi3_ensemble,True
4,Design an email marketing campaign to nurture leads for a B2B software company.,"Company: Proxima, a SaaS provider for marketing automation. Target Audience: Marketing professionals and business owners. Constraints: High competition, lengthy sales cycle. Goals: Increase lead conversion by 25% within 3 months. Workflow Stage: Email Copywriting",Increase lead conversion by 25% within 3 months. Workflow Stage: Email Copywriting,"Company: Proxima, a SaaS provider for marketing automation. Target Audience: Marketing professionals and business owners. Constraints: High competition, lengthy sales cycle.","Company: Proxima, a SaaS provider for marketing automation. Target Audience: Marketing professionals and business owners. Constraints: High competition, lengthy sales cycle.","Create a 5-email nurture sequence: Introduction, Problem agitation, Solution showcase, Social proof, and Exclusive offer. Use personalization and segmentation to tailor content. Include interactive elements like quizzes and surveys to boost engagement.",,0.0,,lead_generation,0.3039,conversion,0.293,lead_generation,lead_generation,0.3839,1.0,three_method_majority,True,luxury,0.3192,exclusive,persuasive,0.3398,friendly,0.1695,persuasive,persuasive,0.4098,0.6667,three_method_majority,True,True,0.3966386516717704,rule_bart_mnli_phi3_ensemble,True
5,Develop a content calendar for a health and wellness blog.,"Company: BalancedLife, a wellness blog and coaching service. Target Audience: Health-conscious individuals. Constraints: Limited resources, need for consistent content. Goals: Increase website traffic by 30% within 6 months. Workflow Stage: Content Scheduling",Increase website traffic by 30% within 6 months. Workflow Stage: Content Scheduling,"Company: BalancedLife, a wellness blog and coaching service. Target Audience: Health-conscious individuals. Constraints: Limited resources, need for consistent content.","Company: BalancedLife, a wellness blog and coaching service. Target Audience: Health-conscious individuals. Constraints: Limited resources, need for consistent content.","Plan a content calendar with 3 blog posts per week, focusing on topics like mindfulness, nutrition, and fitness. Utilize SEO keywords and meta descriptions. Schedule social media posts to promote blog content and engage with audience.",awareness,0.6333,website traffic,awareness,0.5049,conversion,0.1682,awareness,awareness,0.6955,1.0,rule_zero_shot_agreement,False,,0.0,,professional,0.2432,luxury,0.2084,professional,professional,0.3132,1.0,three_method_majority,True,True,0.4667232584733698,rule_bart_mnli_phi3_ensemble,True
6,Create a paid advertising campaign for a new product launch.,"Company: TechGear, an electronics manufacturer. Target Audience: Tech enthusiasts and early adopters. Constraints: Limited budget, high competition. Goals: Drive sales and generate buzz around the new product. Workflow Stage: Ad Copywriting",Drive sales and generate buzz around the new product. Workflow Stage: Ad Copywriting,"Company: TechGear, an electronics manufacturer. Target Audience: Tech enthusiasts and early adopters. Constraints: Limited budget, high competition.","Company: TechGear, an electronics manufacturer. Target Audience: Tech enthusiasts and early adopters. Constraints: Limited budget, high competition.","Develop targeted Google Ads and Facebook Ads campaigns highlighting the product's unique features and benefits. Allocate $5,000 for ad spend and focus on conversion-driven ad copy.",conversion,0.8167,drive sales,conversion,0.621,awareness,0.208,conversion,conversion,0.8486,1.0,rule_zero_shot_agreement,False,,0.0,,persuasive,0.4426,professional,0.1914,professional,professional,0.6,0.5,phi3_tiebreak,True,True,0.7135544828532716,rule_bart_mnli_phi3_ensemble,True
7,Create a social media campaign to increase brand awareness for a new eco-friendly fashion brand.,"Company: GreenThreads, a sustainable fashion brand targeting millennials and Gen Z. Target audience: environmentally conscious fashion enthusiasts. Constraints: limited budget. Goals: increase brand awareness by 20% in 3 months. Workflow stage: strategy.",increase brand awareness by 20% in 3 months. Workflow stage: strategy.,"Company: GreenThreads, a sustainable fashion brand targeting millennials and Gen Z. Target audience: environmentally conscious fashion enthusiasts. Constraints: limited budget.","Company: GreenThreads, a sustainable fashion brand targeting millennials and Gen Z. Target audience: environmentally conscious fashion enthusiasts. Constraints: limited budget.","Develop a social media campaign, ""Eco-Chic Challenge,"" encouraging users to share their sustainable fashion choices. Collaborate with eco-influencers, create engaging content (reels, stories, posts) highlighting GreenThreads' commitment to sustainability. Utilize Instagram's ""Reels"" feature to create a branded hashtag challenge, offering discounts to participants who share their own eco-friendly fashion tips.",awareness,0.8167,brand awareness,awareness,0.6594,engagement,0.1187,awareness,awareness,0.8659,1.0,rule_zero_shot_agreement,False,,0.0,,persuasive,0.2317,emotional,0.1891,professional,professional,0.6,0.5,phi3_tiebreak,True,True,0.7207912319111547,rule_bart_mnli_phi3_ensemble,True
8,Design an email marketing campaign to boost sales for a B2B software company.,"Company: TechSolutions, a B2B software provider targeting small to medium-sized businesses. Target audience: business owners and decision-makers. Constraints: limited email list. Goals: increase sales by 15% in 2 months. Workflow stage: copywriting.",increase sales by 15% in 2 months. Workflow stage: copywriting.,"Company: TechSolutions, a B2B software provider targeting small to medium-sized businesses. Target audience: business owners and decision-makers. Constraints: limited email list.","Company: TechSolutions, a B2B software provider targeting small to medium-sized businesses. Target audience: business owners and decision-makers. Constraints: limited email list.","Create a 3-email nurture campaign, ""Unlock Your Business Potential,"" highlighting TechSolutions' software benefits. Email 1: ""Discover the Power of Our Software"" (introductory email with a free trial offer). Email 2: ""Success Stories"" (case studies and testimonials). Email 3: ""Exclusive Offer"" (limited-time discount for subscribers).",conversion,0.8167,increase sales,conversion,0.6456,awareness,0.1757,conversion,conversion,0.8597,1.0,rule_zero_shot_agreement,False,persuasive,0.6696,discount|offer,emotional,0.3763,persuasive,0.1487,professional,professional,0.6,0.3333,phi3_tiebreak,True,True,0.71820609855389,rule_bart_mnli_phi3_ensemble,True
9,Develop a content marketing strategy for a healthcare company to establish thought leadership.,"Company: MedPro, a healthcare services provider targeting medical professionals and patients. Target audience: healthcare industry experts and patients seeking medical information. Constraints: high competition. Goals: establish thought leadership, increase website traffic by 30% in 6 months. Workflow stage: strategy.","establish thought leadership, increase website traffic by 30% in 6 months. Workflow stage: strategy.","Company: MedPro, a healthcare services provider targeting medical professionals and patients. Target audience: healthcare industry experts and patients seeking medical information. Constraints: high competition.","Company: MedPro, a healthcare services provider targeting medical professionals and patients. Target audience: healthcare industry experts and patients seeking medical information. Constraints: high competition.","Create a content hub, ""MedPro Insights,"" featuring in-depth articles, webinars, and videos on industry trends and best practices. Partner with influential healthcare professionals to contribute guest posts, promoting MedPro's expertise and showcasing its commitment to education and innovation.",awareness,0.6333,website traffic,awareness,0.6634,engagement,0.1212,awareness,awareness,0.7668,1.0,rule_zero_shot_agreement,False,professional,0.7708,industry|insights,professional,0.3156,luxury,0.1991,professional,professional,0.6204,1.0,rule_zero_shot_agreement,False,False,0.6897265545127286,rule_bart_mnli_phi3_ensemble,True
